vorname,anzahl,geschlecht
Sophie,70,w
Marie,65,w
Maria,49,w
Anna,45,w
Alexander,44,m
Charlotte,41,w
Paul,39,m
Luise,37,w
Anton,35,m
Maximilian,34,m
Elias,33,m
Noah,31,m
Emil,29,m
Clara,29,w
Felix,28,m
Oskar,28,m
Sophia,27,w
Emma,26,w
David,26,m
Jakob,26,m
Emilia,25,w
Mia,24,w
Jonas,24,m
Karl,24,m
Jonathan,23,m
Max,23,m
Johanna,21,w
Rosa,21,w
Ben,21,m
Helene,20,w
Luis,20,m
Elisabeth,19,w
Johann,19,m
Hannah,18,w
Ida,18,w
Paula,18,w
Theodor,18,m
Anh,17,w
Benjamin,17,m
Magdalena,17,w
Henry,17,m
Marlene,17,w
Leon,17,m
Amelie,16,w
Levi,16,m
Greta,16,w
Lucas,16,m
Mira,16,w
Lukas,16,m
Muhammed,16,m
Carlotta,15,w
Josephine,15,w
Friedrich,15,m
Nele,15,w
Julian,15,m
Elif,14,w
Anh,14,m
Elisa,14,w
Liam,14,m
Ella,14,w
Louis,14,m
Lena,14,w
Luca,14,m
Lia,14,w
Michael,14,m
Lilly,14,w
Mika,14,m
Sarah,14,w
Moritz,14,m
Ole,14,m
Tim,14,m
Valentin,14,m
Vincent,14,m
Ada,13,w
Alma,13,w
Ava,13,w
Frida,13,w
Julia,13,w
Arthur,13,m
Laura,13,w
Christian,13,m
Lucia,13,w
Erik,13,m
Julius,13,m
Peter,13,m
Philipp,13,m
Frieda,12,w
Hanna,12,w
Lara,12,w
Lou,12,w
Edgar,12,m
Mathilda,12,w
Henri,12,m
Martin,12,m
Theo,12,m
Alva,11,w
Emily,11,w
Helena,11,w
Adam,11,m
Leonie,11,w
Carl,11,m
Maya,11,w
Fabian,11,m
Johannes,11,m
Konstantin,11,m
Leonard,11,m
Simon,11,m
Thomas,11,m
Anouk,10,w
Antonia,10,w
Josefine,10,w
Lea,10,w
Leni,10,w
Lina,10,w
Ahmad,10,m
Maja,10,w
Bruno,10,m
Pauline,10,w
Daniel,10,m
Matteo,10,m
Niklas,10,m
Oliver,10,m
Richard,10,m
Samuel,10,m
Azra,9,w
Jasmin,9,w
Jenny,9,w
Linh,9,w
Lotte,9,w
Louisa,9,w
Can,9,m
Luisa,9,w
Huy,9,m
Luna,9,w
Ibrahim,9,m
Matilda,9,w
John,9,m
Nora,9,w
Leo,9,m
Rabia,9,w
Manuel,9,m
Romy,9,w
Mateo,9,m
Thảo,9,w
Milan,9,m
Tilda,9,w
Nicolas,9,m
Tom,9,m
Wilhelm,9,m
Alina,8,w
Carla,8,w
Elise,8,w
Ali,8,m
Fabienne,8,w
Emilio,8,m
Lisa,8,w
Franz,8,m
Melina,8,w
Frederik,8,m
Mila,8,w
Fritz,8,m
Pia,8,w
Georg,8,m
Hoàng,8,m
Hugo,8,m
Jan,8,m
Joachim,8,m
Joshua,8,m
Justus,8,m
Mehmet,8,m
Mikail,8,m
Milo,8,m
Minh,8,m
Oscar,8,m
Sebastian,8,m
Alexandra,7,w
Angelina,7,w
Emilie,7,w
Eva,7,w
Fiona,7,w
Katharina,7,w
Lotta,7,w
