vorname,anzahl,geschlecht
Sophie,73,w
Marie,72,w
Alexander,56,m
Maria,53,w
Anna,49,w
Maximilian,45,m
Ali,39,m
Paul,39,m
Charlotte,39,w
Luise,38,w
David,37,m
Elias,35,m
Noah,35,m
Emilia,33,w
Theodor,31,m
Sophia,29,w
Ben,27,m
Johanna,27,w
Anton,26,m
Helene,26,w
Jonas,25,m
Moritz,25,m
Clara,24,w
Emma,24,w
Lukas,24,m
Mia,23,w
Emil,23,m
Mila,23,w
Jakob,23,m
Muhammed,23,m
Elisabeth,22,w
Felix,22,m
Johann,22,m
Greta,21,w
Mira,21,w
Rosa,21,w
Friedrich,21,m
Jonathan,21,m
Karl,21,m
Valentin,21,m
Adam,20,m
Daniel,20,m
Leon,20,m
Niklas,20,m
Helena,19,w
Luca,19,m
Elif,18,w
Lara,18,w
Sarah,18,w
Oskar,18,m
Luis,17,m
Emily,16,w
Hannah,16,w
Ida,16,w
Lea,16,w
Christian,16,m
Hamza,16,m
Julian,16,m
Michael,16,m
Ava,15,w
Luisa,15,w
Marlene,15,w
Olivia,15,w
Victoria,15,w
August,15,m
Finn,15,m
Gustav,15,m
Joel,15,m
Lucas,15,m
Omar,15,m
Philipp,15,m
Leonie,14,w
Valentina,14,w
Adrian,14,m
Arthur,14,m
Benjamin,14,m
Franz,14,m
Gabriel,14,m
Hugo,14,m
Julius,14,m
Leonard,14,m
Levi,14,m
Milan,14,m
Vincent,14,m
Elena,13,w
Hanna,13,w
Lisa,13,w
Caspar,13,m
Ferdinand,13,m
Frederik,13,m
Georg,13,m
Leander,13,m
Mika,13,m
Nicolas,13,m
Peter,13,m
Sebastian,13,m
Tim,13,m
Alina,12,w
Eva,12,w
Julia,12,w
Klara,12,w
Lena,12,w
Lilly,12,w
Lina,12,w
Paula,12,w
Pauline,12,w
Antonio,12,m
Bruno,12,m
Erik,12,m
Henri,12,m
Leo,12,m
Mohamad,12,m
Mustafa,12,m
Samuel,12,m
Yasin,12,m
Antonia,11,w
Carla,11,w
Fatima,11,w
Josephine,11,w
Viktoria,11,w
Can,11,m
Carl,11,m
Emilio,11,m
Leopold,11,m
Louis,11,m
Martin,11,m
Max,11,m
Mert,11,m
Mohammed,11,m
Yusuf,11,m
Alma,10,w
Frieda,10,w
Laura,10,w
Lotta,10,w
Maja,10,w
Maya,10,w
Ahmet,10,m
Constantin,10,m
Enes,10,m
Fabian,10,m
Florian,10,m
Fritz,10,m
Fynn,10,m
Henry,10,m
Hussein,10,m
Johannes,10,m
Oliver,10,m
Theo,10,m
Henriette,9,w
Katharina,9,w
Lotte,9,w
Louisa,9,w
Lucia,9,w
Mathilda,9,w
Nele,9,w
Nina,9,w
Albert,9,m
Amir,9,m
Damian,9,m
Emir,9,m
Eric,9,m
Jan,9,m
Thomas,9,m
Wilhelm,9,m
Alexandra,8,w
Amalia,8,w
Aurelia,8,w
Ela,8,w
Elisa,8,w
Esma,8,w
Isabella,8,w
Lia,8,w
Louise,8,w
Milena,8,w
Sara,8,w
Sofia,8,w
Yasmin,8,w
Aaron,8,m
Andreas,8,m
Berat,8,m
Christoph,8,m
Emin,8,m
Jacob,8,m
Jasper,8,m
Konstantin,8,m
Mateo,8,m
Mats,8,m
Neo,8,m
Ole,8,m
Simon,8,m
Amelie,7,w
Amina,7,w
Anouk,7,w
Asmin,7,w
Aurora,7,w
Carlotta,7,w
Fatma,7,w
Frida,7,w
Hira,7,w
Marina,7,w
Matilda,7,w
Meryem,7,w
Nisa,7,w
Nora,7,w
Pia,7,w
Samira,7,w
Su,7,w
Theresa,7,w
Zoe,7,w
Abdullah,7,m
Ahmed,7,m
Benedikt,7,m
Bilal,7,m
Emre,7,m
Ibrahim,7,m
Jamal,7,m
Leonardo,7,m
Ludwig,7,m
Marvin,7,m
Matthias,7,m
Nikolai,7,m
Pepe,7,m
Raphael,7,m
Robert,7,m
Taha,7,m
Ada,6,w
Alva,6,w
Anh,6,w
Celina,6,w
Elina,6,w
Ella,6,w
Jana,6,w
Josefine,6,w
Juli,6,w
Leyla,6,w
Magdalena,6,w
Mara,6,w
Martha,6,w
Medina,6,w
Mina,6,w
Naz,6,w
Nike,6,w
Ursula,6,w
Abbas,6,m
Ahmad,6,m
Conrad,6,m
Frank,6,m
Hasan,6,m
Hassan,6,m
Jannis,6,m
Karim,6,m
Leonhard,6,m
Linus,6,m
Luke,6,m
Mahmoud,6,m
Mehmet,6,m
Miraç,6,m
Mohamed,6,m
Muhammad,6,m
Otto,6,m
Patrick,6,m
Rafael,6,m
Richard,6,m
Till,6,m
Tom,6,m
Aaliyah,5,w
Amelia,5,w
Ana,5,w
Ayşe,5,w
Azra,5,w
Berfin,5,w
Carolina,5,w
Celine,5,w
Elin,5,w
Elise,5,w
Ellen,5,w
Emely,5,w
Emilie,5,w
Emine,5,w
Esra,5,w
Isabel,5,w
Isabelle,5,w
Jette,5,w
Layla,5,w
Luna,5,w
Marlen,5,w
Melina,5,w
Melisa,5,w
Melissa,5,w
Michelle,5,w
Noura,5,w
Ronja,5,w
Rosalie,5,w
Selma,5,w
Stella,5,w
Tabea,5,w
Tilda,5,w
Yaren,5,w
Zeynep,5,w
Anthony,5,m
Baran,5,m
Carlo,5,m
Denis,5,m
Devran,5,m
Elia,5,m
Hans,5,m
Hüseyin,5,m
Jason,5,m
Johan,5,m
John,5,m
Jon,5,m
