vorname,anzahl,geschlecht
Marie,22,w
Emilia,19,w
Sophie,18,w
Maximilian,14,m
Alexander,13,m
Ali,13,m
Elias,13,m
Luca,13,m
Sophia,11,w
David,11,m
Noah,11,m
Paul,11,m
Julian,10,m
Laura,9,w
Maria,9,w
Mia,9,w
Adam,9,m
Michael,9,m
Emily,8,w
Emma,8,w
Lena,8,w
Lina,8,w
Felix,8,m
Melina,8,w
Leon,8,m
Mira,8,w
Luis,8,m
Charlotte,7,w
Anton,7,m
Josephine,7,w
Can,7,m
Finn,7,m
Jakob,7,m
Joel,7,m
Lukas,7,m
Valentin,7,m
Anna,6,w
Aylin,6,w
Jan,6,m
Jonas,6,m
Liam,6,m
Muhammed,6,m
Oliver,6,m
Alina,5,w
Elif,5,w
Ella,5,w
Fiona,5,w
Lea,5,w
Melek,5,w
Meryem,5,w
Nur,5,w
Sofie,5,w
Ben,5,m
Zehra,5,w
Georg,5,m
Jonathan,5,m
Joshua,5,m
Leo,5,m
Louis,5,m
Pascal,5,m
Philip,5,m
Amy,4,w
Antonia,4,w
Azra,4,w
Carla,4,w
Ela,4,w
Elisa,4,w
Elisabeth,4,w
Adrian,4,m
Fatima,4,w
Andreas,4,m
Isabella,4,w
Benjamin,4,m
Johanna,4,w
Damian,4,m
Luisa,4,w
Emilian,4,m
Maja,4,w
Emir,4,m
Mila,4,w
Fabian,4,m
Sara,4,w
Johann,4,m
Sarah,4,w
Karl,4,m
Victoria,4,w
Marcel,4,m
Marlon,4,m
Mika,4,m
Nico,4,m
Nino,4,m
Rafael,4,m
Richard,4,m
Theo,4,m
Tobias,4,m
Adriana,3,w
Aleyna,3,w
Alissa,3,w
Amalia,3,w
Amelie,3,w
Amira,3,w
Anastasia,3,w
Annika,3,w
Ceylin,3,w
Ahmad,3,m
Clara,3,w
Aleks,3,m
Eliana,3,w
Antonio,3,m
Frieda,3,w
Bennet,3,m
Hannah,3,w
Carl,3,m
Isabell,3,w
Cassian,3,m
Jana,3,w
Christian,3,m
Jolie,3,w
Christoph,3,m
Lara,3,w
Colin,3,m
Leonie,3,w
Daniel,3,m
Magdalena,3,w
Efe,3,m
Marlene,3,w
Emil,3,m
Medina,3,w
Filip,3,m
Nele,3,w
Ilyas,3,m
Nisa,3,w
Ismail,3,m
Pia,3,w
Jayden,3,m
Sofia,3,w
Johannes,3,m
Summer,3,w
Justus,3,m
Viktoria,3,w
Klaus,3,m
Zeynep,3,w
Levi,3,m
Zoey,3,w
Marco,3,m
Maurice,3,m
Maxim,3,m
Maxime,3,m
Mehmet,3,m
Milan,3,m
Milo,3,m
Niklas,3,m
Peter,3,m
Philipp,3,m
René,3,m
Samuel,3,m
Sebastian,3,m
Simon,3,m
Theodor,3,m
Tim,3,m
Tom,3,m
Valentino,3,m
Yasin,3,m
Yusuf,3,m
Ömer,3,m
Ada,2,w
Alia,2,w
Alicja,2,w
Alisha,2,w
Alma,2,w
Alya,2,w
Amal,2,w
Amara,2,w
Amelia,2,w
Ana,2,w
Annalena,2,w
Barbara,2,w
Beritan,2,w
Beyza,2,w
Chiara,2,w
Dılda,2,w
Elena,2,w
Elin,2,w
Elise,2,w
Elizabeth,2,w
Elli,2,w
Aaron,2,m
Elsa,2,w
Abdullah,2,m
Emelie,2,w
Abdurrahman,2,m
Esila,2,w
Alfred,2,m
Esma,2,w
Amin,2,m
Estelle,2,w
Amos,2,m
Eva,2,w
Arafat,2,m
Evelyn,2,w
Armando,2,m
Ezgi,2,w
Axel,2,m
Fabienne,2,w
Baran,2,m
Franziska,2,w
Berat,2,m
Gabriela,2,w
Bernhard,2,m
Golda,2,w
Björn,2,m
Hanna,2,w
Carlos,2,m
Helena,2,w
Chris,2,m
Helin,2,w
Cihan,2,m
Hira,2,w
Dario,2,m
Izabela,2,w
Diego,2,m
Jael,2,w
Dieter,2,m
Janna,2,w
Elyas,2,m
Jara,2,w
Enes,2,m
Jessica,2,w
Ensar,2,m
Joline,2,w
Ferdinand,2,m
Josefine,2,w
Fynn,2,m
Joyce,2,w
Gabriel,2,m
Julia,2,w
Gerhard,2,m
Julie,2,w
Hanno,2,m
Katrin,2,w
Henri,2,m
Lana,2,w
Isaac,2,m
Leana,2,w
Jari,2,m
Leyla,2,w
Jason,2,m
Lia,2,w
Jonah,2,m
Lilly,2,w
Karim,2,m
Lisa,2,w
Kerem,2,m
Lotte,2,w
Kerim,2,m
Luise,2,w
Kevin,2,m
Madeleine,2,w
Kuzey,2,m
Margarete,2,w
Lars,2,m
Martina,2,w
Lennard,2,m
Maryam,2,w
Leonard,2,m
Mathilda,2,w
Mahir,2,m
Matilda,2,w
Maik,2,m
Merle,2,w
Malik,2,m
Mina,2,w
Malte,2,m
Miriam,2,w
Manfred,2,m
Monika,2,w
Manuel,2,m
Naila,2,w
Mats,2,m
Olivia,2,w
Max,2,m
Paula,2,w
Metin,2,m
Rachel,2,w
Milow,2,m
Rana,2,w
Miro,2,m
Rosa,2,w
Moritz,2,m
Safija,2,w
Muhammad,2,m
Samantha,2,w
Musa,2,m
Samira,2,w
Noel,2,m
Scarlett,2,w
Ole,2,m
Sila,2,w
Oliwier,2,m
Susanna,2,w
Oscar,2,m
Tamira,2,w
Oskar,2,m
Yara,2,w
Raphael,2,m
Zelal,2,w
Robin,2,m
Zilan,2,w
Ryszard,2,m
Zoe,2,w
Said,2,m
Sylwester,2,m
Talha,2,m
Thorin,2,m
Timo,2,m
Tomasz,2,m
Toni,2,m
Tristan,2,m
Tyler,2,m
Veit,2,m
