vorname,anzahl,geschlecht
Sophie,25,w
Marie,22,w
Alexander,21,m
Emil,21,m
Charlotte,20,w
Maria,18,w
Anna,17,w
Paul,16,m
Elisabeth,15,w
Felix,14,m
Oskar,14,m
Sophia,14,w
Karl,13,m
Max,13,m
Luise,13,w
Ben,12,m
Emma,12,w
Elias,11,m
Emilia,11,w
Hanna,11,w
Hannah,11,w
Lina,11,w
Luca,10,m
Greta,10,w
Johanna,10,w
Anton,9,m
Friedrich,9,m
Jakob,9,m
Leon,9,m
Lea,9,w
Nele,9,w
Pauline,9,w
Arthur,8,m
Levi,8,m
Lukas,8,m
Martin,8,m
Maximilian,8,m
Clara,8,w
Moritz,8,m
Mia,8,w
Noah,8,m
Amelie,7,w
Benjamin,7,m
Elise,7,w
Finn,7,m
Frida,7,w
Florian,7,m
Helene,7,w
Jonathan,7,m
Luisa,7,w
Liam,7,m
Maja,7,w
Niklas,7,m
Mathilda,7,w
Richard,7,m
Pia,7,w
Tim,7,m
Helena,6,w
Constantin,6,m
Jasmin,6,w
Jan,6,m
Lena,6,w
Johann,6,m
Lisa,6,w
Jonas,6,m
Marlene,6,w
Julius,6,m
Matilda,6,w
Konstantin,6,m
Paula,6,w
Louis,6,m
Luis,6,m
Matteo,6,m
Theodor,6,m
Antonia,5,w
Laura,5,w
Lotta,5,w
Tessa,5,w
Carl,5,m
Michael,5,m
Pepe,5,m
Peter,5,m
Samuel,5,m
Alexandra,4,w
Alina,4,w
Aurelia,4,w
Ella,4,w
Eva,4,w
Albert,4,m
Fiona,4,w
Bruno,4,m
Frieda,4,w
Christian,4,m
Friederike,4,w
Erik,4,m
Fritzi,4,w
Fabian,4,m
Julia,4,w
Fiete,4,m
Katharina,4,w
Jayden,4,m
Klara,4,w
Joel,4,m
Leni,4,w
Juri,4,m
Mara,4,w
Justus,4,m
Mila,4,w
Lars,4,m
Mina,4,w
Leo,4,m
Nora,4,w
Malte,4,m
Zoe,4,w
Matthias,4,m
Maxim,4,m
Milan,4,m
Oliver,4,m
Otto,4,m
Pascal,4,m
Tobias,4,m
Vincent,4,m
Anne,3,w
Anni,3,w
Ava,3,w
Carla,3,w
Carlotta,3,w
Elisa,3,w
Elsa,3,w
Emilie,3,w
Aaron,3,m
Emily,3,w
Andreas,3,m
Finja,3,w
André,3,m
Florentine,3,w
August,3,m
Gerda,3,w
Bastian,3,m
Henriette,3,w
Christopher,3,m
Ida,3,w
Edgar,3,m
Jane,3,w
Emilio,3,m
Janne,3,w
Franz,3,m
Käthe,3,w
Henry,3,m
Lara,3,w
Hermann,3,m
Larissa,3,w
Hugo,3,m
Lene,3,w
James,3,m
Leonie,3,w
Janosch,3,m
Lilli,3,w
Jasper,3,m
Lilly,3,w
Julian,3,m
Linda,3,w
Kai,3,m
Luna,3,w
Kasimir,3,m
Malou,3,w
Lennox,3,m
Martha,3,w
Lucas,3,m
Merle,3,w
Mario,3,m
Milena,3,w
Mark,3,m
Paulina,3,w
Matheo,3,m
Rosalie,3,w
Mika,3,m
Rosemarie,3,w
Milo,3,m
Sarah,3,w
Nico,3,m
Selma,3,w
Ole,3,m
Sofia,3,w
Oscar,3,m
Svea,3,w
Philipp,3,m
Vanessa,3,w
Tamino,3,m
Theo,3,m
Thore,3,m
Till,3,m
Tristan,3,m
Valentin,3,m
Amélie,2,w
Anastasia,2,w
Angelina,2,w
Anika,2,w
Annelie,2,w
Celine,2,w
Adam,2,m
Cleo,2,w
Adrian,2,m
Elena,2,w
Alex,2,m
Emely,2,w
Arne,2,m
Erika,2,w
Artur,2,m
Esther,2,w
Aurelius,2,m
Frederike,2,w
Benedikt,2,m
Henrike,2,w
Benno,2,m
Irene,2,w
Carlo,2,m
Isabel,2,w
Casimir,2,m
Isabella,2,w
Damian,2,m
Isabelle,2,w
David,2,m
Josefine,2,w
Dean,2,m
Josephine,2,w
Eddy,2,m
Julie,2,w
Eliah,2,m
June,2,w
Enno,2,m
Karin,2,w
Frank,2,m
Karla,2,w
Frederik,2,m
Kiara,2,w
Gustav,2,m
Leia,2,w
Heinrich,2,m
Leona,2,w
Henri,2,m
Lia,2,w
Jack,2,m
Lilian,2,w
Jaden,2,m
Lilith,2,w
Jelle,2,m
Lily,2,w
Joachim,2,m
Lorelai,2,w
Johannes,2,m
Lotte,2,w
Jonte,2,m
Louise,2,w
Joshua,2,m
Lucia,2,w
Jörg,2,m
Luzie,2,w
Kaspar,2,m
Madita,2,w
Magdalena,2,w
Konrad,2,m
Malea,2,w
Lee,2,m
Margarethe,2,w
Lennart,2,m
Mariella,2,w
Leonard,2,m
Melina,2,w
Leonas,2,m
Melissa,2,w
Leopold,2,m
Michelle,2,w
Linus,2,m
Milla,2,w
Luka,2,m
Minna,2,w
Luke,2,m
Mira,2,w
Matti,2,m
Monika,2,w
Maurice,2,m
Natalie,2,w
Mike,2,m
Nea,2,w
Miro,2,m
Nela,2,w
Neo,2,m
Noa,2,w
Nikolai,2,m
Patricia,2,w
Noam,2,m
Rahel,2,w
Rebecca,2,w
Noel,2,m
Rebekka,2,w
Norwin,2,m
Regina,2,w
Phil,2,m
Rosa,2,w
Philip,2,m
Samira,2,w
Rainer,2,m
Sky,2,w
Raphael,2,m
Soraya,2,w
Robert,2,m
Thea,2,w
Rolf,2,m
Tilda,2,w
Sami,2,m
Vivien,2,w
Sean,2,m
Yuna,2,w
Sebastian,2,m
Zoé,2,w
Sven,2,m
Taylor,2,m
Teodor,2,m
Thilo,2,m
Til,2,m
Tom,2,m
Ulrich,2,m
Viktor,2,m
Vitus,2,m
Werner,2,m
Wilhelm,2,m
William,2,m
Yannis,2,m
