vorname,anzahl,geschlecht
Sophie,103,w
Marie,96,w
Maximilian,62,m
Alexander,58,m
Charlotte,54,w
Maria,53,w
Paul,52,m
Noah,47,m
Emilia,47,w
Jakob,46,m
Elias,45,m
Jonas,45,m
Anna,43,w
Emma,43,w
Johanna,42,w
Leon,41,m
Emil,39,m
Felix,39,m
Jonathan,39,m
Ali,38,m
Anton,38,m
Oskar,38,m
Luise,37,w
Luca,36,m
Mila,34,w
Hannah,32,w
Sophia,32,w
David,32,m
Elisabeth,31,w
Ella,29,w
Lea,29,w
Luisa,29,w
Theodor,28,m
Vincent,28,m
Lina,27,w
Clara,26,w
Louis,26,m
Laura,26,w
Elisa,25,w
Marlene,25,w
Ben,24,m
Karl,24,m
Moritz,24,m
Valentin,24,m
Frida,23,w
Mira,23,w
Benjamin,23,m
Julian,23,m
Max,23,m
Greta,22,w
Mia,22,w
Friedrich,22,m
Gabriel,22,m
Johann,22,m
Samuel,22,m
Emily,21,w
Helena,21,w
Leonie,21,w
Muhammed,21,m
Elif,20,w
Hanna,20,w
Lara,20,w
Daniel,20,m
Matilda,20,w
Jan,20,m
Julius,20,m
Leonard,20,m
Liam,20,m
Philipp,20,m
Antonia,19,w
Helene,19,w
Mathilda,19,w
Christian,19,m
Raphael,19,m
Paula,18,w
Amir,18,m
Luis,18,m
Ida,17,w
Lena,17,w
Adam,17,m
Ferdinand,17,m
Johannes,17,m
Konstantin,17,m
Isabella,16,w
Leni,16,w
Maya,16,w
Carl,16,m
Henry,16,m
Leo,16,m
Lukas,16,m
Malik,16,m
Maxim,16,m
Milan,16,m
Niklas,16,m
Oscar,16,m
Simon,16,m
Alma,15,w
Carlotta,15,w
Ela,15,w
Frieda,15,w
Lia,15,w
Mina,15,w
Nur,15,w
Sofia,15,w
Zoe,15,w
Bruno,15,m
Erik,15,m
Joshua,15,m
Linus,15,m
Tim,15,m
Ava,14,w
Elena,14,w
Eva,14,w
Julia,14,w
Katharina,14,w
Miray,14,w
Olivia,14,w
Victoria,14,w
Adrian,14,m
Finn,14,m
Mateo,14,m
Ole,14,m
Theo,14,m
Amelie,13,w
Klara,13,w
Luna,13,w
Magdalena,13,w
Nele,13,w
Arthur,13,m
August,13,m
Can,13,m
Frederik,13,m
Fynn,13,m
Michael,13,m
Mika,13,m
Richard,13,m
Amelia,12,w
Elise,12,w
Josephine,12,w
Sarah,12,w
Viktoria,12,w
Emir,12,m
Fabian,12,m
Justus,12,m
Leander,12,m
Leopold,12,m
Levi,12,m
Matteo,12,m
Carla,11,w
Elsa,11,w
Lucia,11,w
Sara,11,w
Benedikt,11,m
Eymen,11,m
Florian,11,m
Kaan,11,m
Levin,11,m
Lucas,11,m
Amalia,10,w
Felicitas,10,w
Isabel,10,w
Nina,10,w
Nisa,10,w
Nora,10,w
Pauline,10,w
Theresa,10,w
Zeynep,10,w
Berat,10,m
Bo,10,m
Emilian,10,m
Henri,10,m
Lennard,10,m
Mohammed,10,m
Nicolas,10,m
Noel,10,m
Pepe,10,m
Thomas,10,m
Tom,10,m
Lisa,9,w
Louisa,9,w
Martha,9,w
Romy,9,w
Rosalie,9,w
Ruth,9,w
Selma,9,w
Sofie,9,w
Stella,9,w
Andreas,9,m
Caspar,9,m
Frederick,9,m
Georg,9,m
Jannes,9,m
Jonah,9,m
Karim,9,m
Milo,9,m
Oliver,9,m
Peter,9,m
Wilhelm,9,m
Ada,8,w
Amina,8,w
Eleni,8,w
Henriette,8,w
Josefine,8,w
Leyla,8,w
Malou,8,w
Mara,8,w
Melina,8,w
Miriam,8,w
Pia,8,w
Rosa,8,w
Thea,8,w
Valentina,8,w
Zehra,8,w
Ahmet,8,m
Constantin,8,m
Emilio,8,m
Filip,8,m
Franz,8,m
Gustav,8,m
Hassan,8,m
Ilyas,8,m
Jakub,8,m
Joel,8,m
