vorname,anzahl,geschlecht
Marie,112,w
Sophie,84,w
Charlotte,81,w
Alexander,68,m
Paul,57,m
Maximilian,51,m
Mia,49,w
Oskar,47,m
Johanna,47,w
Emilia,45,w
Emma,44,w
Maria,44,w
Emil,43,m
Theodor,43,m
Elias,42,m
Anton,41,m
Jonas,40,m
Anna,40,w
Elisabeth,40,w
Luise,40,w
Lina,39,w
Sophia,36,w
Ben,35,m
Noah,35,m
Greta,35,w
Felix,33,m
Luca,31,m
Karl,30,m
Leonard,28,m
Ella,28,w
Mathilda,28,w
Jonathan,27,m
Louis,27,m
Lea,27,w
Leo,26,m
Theo,26,m
Emily,25,w
Frieda,25,w
Finn,25,m
Laura,25,w
Moritz,25,m
Nele,25,w
Benjamin,24,m
Marlene,24,w
Henry,24,m
Matilda,24,w
Leon,24,m
Liam,24,m
Erik,23,m
Friedrich,23,m
Johann,23,m
Hannah,22,w
Jakob,22,m
Niklas,22,m
Clara,21,w
Leni,21,w
Luisa,21,w
Arthur,21,m
Lukas,21,m
Max,21,m
Milan,21,m
Tim,21,m
Amelie,20,w
Paulina,20,w
Pauline,20,w
Matteo,20,m
Philipp,20,m
Lara,19,w
Lena,19,w
Mila,19,w
Pepe,19,m
Leonie,18,w
Georg,18,m
Johannes,18,m
Valentin,18,m
Antonia,17,w
Hanna,17,w
Klara,17,w
Lotta,17,w
Mara,17,w
Paula,17,w
Carl,17,m
Julian,17,m
Julius,17,m
Tom,17,m
Helena,16,w
Mira,16,w
Bruno,16,m
Florian,16,m
Henri,16,m
John,16,m
Levi,16,m
Michael,16,m
Richard,16,m
Samuel,16,m
Till,16,m
Ava,15,w
Henriette,15,w
Adrian,15,m
David,15,m
Fritz,15,m
Gustav,15,m
Linus,15,m
Thomas,15,m
Alexandra,14,w
Carlotta,14,w
Elise,14,w
Ida,14,w
Lilly,14,w
Lisa,14,w
Lucia,14,w
Pia,14,w
Justus,14,m
Luis,14,m
Mats,14,m
Elisa,13,w
Frida,13,w
Julia,13,w
Luna,13,w
Maja,13,w
Mina,13,w
Olivia,13,w
Sarah,13,w
Sofia,13,w
Tilda,13,w
Aaron,13,m
Albert,13,m
Christian,13,m
Edgar,13,m
Maxim,13,m
Mika,13,m
Ole,13,m
Oliver,13,m
Raphael,13,m
Vincent,13,m
Amalia,12,w
Isabella,12,w
Katharina,12,w
Maya,12,w
Nora,12,w
Stella,12,w
Fabian,12,m
Konstantin,12,m
Leopold,12,m
Levin,12,m
Matthias,12,m
Milo,12,m
Noel,12,m
Tobias,12,m
Willi,12,m
Alina,11,w
Elena,11,w
Elsa,11,w
Helene,11,w
Lotte,11,w
Martha,11,w
Rosa,11,w
Ruth,11,w
Ferdinand,11,m
Nicolas,11,m
Peter,11,m
Wilhelm,11,m
Alma,10,w
Amelia,10,w
Edda,10,w
Flora,10,w
Jasmin,10,w
Käthe,10,w
Lou,10,w
Louisa,10,w
Louise,10,w
Melina,10,w
Adam,10,m
Nina,10,w
Constantin,10,m
Rosalie,10,w
Franz,10,m
Jannis,10,m
Jona,10,m
Jonah,10,m
Matti,10,m
Mattis,10,m
Simon,10,m
Anni,9,w
Elina,9,w
Milena,9,w
Victoria,9,w
Andreas,9,m
Daniel,9,m
Eric,9,m
Gabriel,9,m
Hans,9,m
Hugo,9,m
Joel,9,m
Malte,9,m
Eva,8,w
Florentine,8,w
Friederike,8,w
Grace,8,w
Josephine,8,w
Karla,8,w
Miriam,8,w
Valentina,8,w
André,8,m
Bennet,8,m
Caspar,8,m
Finley,8,m
Fynn,8,m
Jan,8,m
Leander,8,m
Marc,8,m
Martin,8,m
Mike,8,m
Oscar,8,m
Alva,7,w
Anastasia,7,w
Annika,7,w
Barbara,7,w
Dorothea,7,w
Ellie,7,w
Fritzi,7,w
Isabelle,7,w
Jette,7,w
Jolie,7,w
Liv,7,w
Magdalena,7,w
Malou,7,w
Mariella,7,w
August,7,m
Marta,7,w
Carlo,7,m
Rose,7,w
Christoph,7,m
Zoe,7,w
Frank,7,m
Ian,7,m
Jasper,7,m
Joshua,7,m
Lasse,7,m
Luke,7,m
Marlon,7,m
Matheo,7,m
Phil,7,m
Robin,7,m
Sam,7,m
Anne,6,w
Anouk,6,w
Christin,6,w
Eleonore,6,w
Elin,6,w
Fiona,6,w
Isabel,6,w
Isabell,6,w
Joleen,6,w
Josefine,6,w
Julie,6,w
Ahmad,6,m
Juna,6,w
Bela,6,m
Kira,6,w
Carlos,6,m
Lana,6,w
Dean,6,m
Lia,6,w
Egon,6,m
Lucy,6,w
Frederik,6,m
Malina,6,w
Hannes,6,m
Sofie,6,w
Jacob,6,m
Tessa,6,w
Jamie,6,m
Theresa,6,w
Jannik,6,m
Zoey,6,w
Janosch,6,m
Kilian,6,m
Kurt,6,m
Lennox,6,m
Lian,6,m
Luka,6,m
Otto,6,m
Sebastian,6,m
Wolfgang,6,m
Ada,5,w
Alena,5,w
Amy,5,w
Cataleya,5,w
Cosima,5,w
Doris,5,w
Eliza,5,w
Elli,5,w
Elly,5,w
Alfred,5,m
Emilie,5,w
Ali,5,m
Enie,5,w
Arne,5,m
Erika,5,w
Arvid,5,m
Finja,5,w
Aurelius,5,m
Gabriele,5,w
Benedikt,5,m
Hedda,5,w
Christopher,5,m
Jonna,5,w
Colin,5,m
Karoline,5,w
Emilian,5,m
Lilli,5,w
Fiete,5,m
Lilou,5,w
Finnley,5,m
Lynn,5,w
Hendrik,5,m
Maila,5,w
Ilay,5,m
Malia,5,w
Jaron,5,m
Marla,5,w
Johan,5,m
Melissa,5,w
Jörg,5,m
Merle,5,w
Jürgen,5,m
Milla,5,w
Kai,5,m
Natalie,5,w
Kasimir,5,m
Romy,5,w
Konrad,5,m
Sabine,5,w
Lars,5,m
Sina,5,w
Lennard,5,m
Wilma,5,w
Leonhard,5,m
Lionel,5,m
Ludwig,5,m
Marvin,5,m
Noam,5,m
Rafael,5,m
Stephan,5,m
Thore,5,m
William,5,m
Alicia,4,w
Alissa,4,w
Alyssa,4,w
Amira,4,w
Annabell,4,w
Annelie,4,w
Aurelia,4,w
Carla,4,w
Caroline,4,w
Bernd,4,m
Charlott,4,w
Charlie,4,m
Christine,4,w
Conner,4,m
Edith,4,w
Damian,4,m
Fabienne,4,w
Elyas,4,m
Hailey,4,w
Emilio,4,m
Hedwig,4,w
Enrico,4,m
Heidi,4,w
Erich,4,m
Jane,4,w
Etienne,4,m
Joline,4,w
Frederick,4,m
Josephin,4,w
Günter,4,m
Karin,4,w
Heinz,4,m
Karlotta,4,w
Henning,4,m
Larissa,4,w
James,4,m
Leah,4,w
Janne,4,m
Lene,4,w
Jannes,4,m
Leonora,4,w
Jason,4,m
Leticia,4,w
Jonte,4,m
Linda,4,w
Joris,4,m
Luca,4,w
Josef,4,m
Mala,4,w
Kaspar,4,m
Marleen,4,w
Lennart,4,m
Mathilde,4,w
Lias,4,m
Melia,4,w
Lion,4,m
Ophelia,4,w
Luan,4,m
Sara,4,w
Lucas,4,m
Toni,4,w
Manfred,4,m
Valerie,4,w
Marcel,4,m
Vanessa,4,w
Mio,4,m
Veronika,4,w
Nick,4,m
Viktoria,4,w
Nikolai,4,m
Viola,4,w
Nils,4,m
Yara,4,w
Nino,4,m
Zoé,4,w
Pascal,4,m
Piet,4,m
Robert,4,m
Roman,4,m
Stefan,4,m
Tammo,4,m
Toni,4,m
Tony,4,m
Tristan,4,m
Yannick,4,m
Adele,3,w
Aino,3,w
Alea,3,w
Alessia,3,w
Alice,3,w
Alisa,3,w
Angelina,3,w
Anh,3,w
Anneliese,3,w
Annette,3,w
Alessio,3,m
Annie,3,w
Ansgar,3,m
Antonie,3,w
Anthony,3,m
Aurora,3,w
Antonio,3,m
Celine,3,w
Arik,3,m
Daria,3,w
Aron,3,m
Darina,3,w
Artur,3,m
Diana,3,w
Balthasar,3,m
Dora,3,w
Bennett,3,m
Elea,3,w
Bilal,3,m
Eleni,3,w
Bodo,3,m
Eleonora,3,w
Béla,3,m
Emmi,3,w
Casper,3,m
Enni,3,w
Clemens,3,m
Estelle,3,w
Collin,3,m
Eve,3,w
Cornelius,3,m
Evelyn,3,w
Dante,3,m
Franziska,3,w
Davis,3,m
Freya,3,w
Dirk,3,m
Gertrud,3,w
Emanuel,3,m
Hedi,3,w
Ernst,3,m
Helga,3,w
Fabio,3,m
Henrietta,3,w
Fred,3,m
Hilda,3,w
Fridolin,3,m
Holly,3,w
Gregor,3,m
Inge,3,w
Heinrich,3,m
Isa,3,w
Henrik,3,m
Jana,3,w
Jari,3,m
Juno,3,w
Jascha,3,m
Kiara,3,w
Jayden,3,m
Leandra,3,w
Jeremias,3,m
Leonore,3,w
Joachim,3,m
Liah,3,w
Jordan,3,m
Lilia,3,w
Juri,3,m
Liliana,3,w
Laurens,3,m
Linnea,3,w
Lenny,3,m
Livia,3,w
Leonardo,3,m
Luzie,3,w
Leonas,3,m
Lydia,3,w
Lorenz,3,m
Madita,3,w
Louie,3,m
Maite,3,w
Magnus,3,m
Margarete,3,w
Maik,3,m
Marianne,3,w
Malik,3,m
Marlen,3,w
Marten,3,m
Maxi,3,w
Mathis,3,m
Mika,3,w
Minh,3,m
Nila,3,w
Miro,3,m
Nola,3,w
Mohammad,3,m
Rebecca,3,w
Nael,3,m
Renée,3,w
Nathan,3,m
Ronja,3,w
Nathanael,3,m
Runa,3,w
Niclas,3,m
Samantha,3,w
Nico,3,m
Sonja,3,w
Nikolas,3,m
Sunny,3,w
Olaf,3,m
Susanne,3,w
Philip,3,m
Svea,3,w
Phillip,3,m
Tabea,3,w
Quentin,3,m
Tamina,3,w
Ralf,3,m
Thea,3,w
René,3,m
Ute,3,w
Ryan,3,m
Wanda,3,w
Sascha,3,m
Xenia,3,w
Siegfried,3,m
Yasmin,3,w
Simeon,3,m
Taylor,3,m
Thies,3,m
Timo,3,m
Tyler,3,m
Ulrich,3,m
Victor,3,m
Walter,3,m
Abby,2,w
Abena,2,w
Agata,2,w
Agnes,2,w
Alexis,2,w
Aljona,2,w
Amara,2,w
Amilia,2,w
Abel,2,m
Angela,2,w
Adem,2,m
Anita,2,w
Adonis,2,m
Ann,2,w
Ahmed,2,m
Anna-Sophie,2,w
Aiden,2,m
Annabel,2,w
Aljoscha,2,m
Annabelle,2,w
Alon,2,m
Ariana,2,w
Amadeo,2,m
Aurélie,2,w
Amaru,2,m
Aylin,2,w
Amin,2,m
Bea,2,w
Amir,2,m
Beatrice,2,w
Andre,2,m
Bella,2,w
Arian,2,m
Brigitte,2,w
Armin,2,m
Cara,2,w
Arno,2,m
Catalina,2,w
Artus,2,m
Celina,2,w
Arvo,2,m
Charlie,2,w
Augustin,2,m
Chelsea,2,w
Aurelian,2,m
Cheyenne,2,w
Axel,2,m
Chiara,2,w
Ayden,2,m
Christa,2,w
Bastian,2,m
Christiane,2,w
Bosse,2,m
Cleo,2,w
Carlson,2,m
Cornelia,2,w
Danilo,2,m
Dilara,2,w
Darius,2,m
Dina,2,w
Darío,2,m
Ebba,2,w
Dawid,2,m
Eden,2,w
Dennis,2,m
Ela,2,w
Dion,2,m
Elaina,2,w
Dries,2,m
Elayne,2,w
Dylan,2,m
Eleanor,2,w
Eddie,2,m
Elenor,2,w
Eddy,2,m
Eliana,2,w
Eduard,2,m
Ellen,2,w
Eduardo,2,m
Elva,2,w
Edwin,2,m
Elvira,2,w
Eli,2,m
Emelie,2,w
Elia,2,m
Emely,2,w
Elvis,2,m
Evelin,2,w
Enes,2,m
Evelina,2,w
Erwin,2,m
Fatima,2,w
Ezra,2,m
Felice,2,w
Falk,2,m
Felicitas,2,w
Federico,2,m
Feline,2,w
Felias,2,m
Fenja,2,w
Filip,2,m
Freda,2,w
Finnegan,2,m
Frederike,2,w
Francis,2,m
Gerda,2,w
Frieder,2,m
Gisela,2,w
Gerhard,2,m
Giulia,2,w
Gunnar,2,m
Hanni,2,w
Günther,2,m
Heidemarie,2,w
Harry,2,m
Helen,2,w
Ibrahim,2,m
Henrike,2,w
Igor,2,m
Hilde,2,w
Ilias,2,m
Hildegard,2,w
Ilyas,2,m
Ingrid,2,w
Ion,2,m
Irene,2,w
Ionut,2,m
Jean,2,w
Issa,2,m
Jeanne,2,w
Jack,2,m
Jelena,2,w
Jaden,2,m
Jenna,2,w
Jamal,2,m
Joan,2,w
Jamie-Lee,2,m
Jolene,2,w
Jamil,2,m
Jolina,2,w
Jan-Luca,2,m
Josy,2,w
Janik,2,m
Jule,2,w
Jeremy,2,m
Juli,2,w
Jim,2,m
Juliane,2,w
Jonne,2,m
June,2,w
Joschua,2,m
Kalea,2,w
Josua,2,m
Kalina,2,w
Julien,2,m
Kalotta,2,w
Junes,2,m
Karina,2,w
János,2,m
Kate,2,w
Kajus,2,m
Kim,2,w
Kaleo,2,m
Kimberly,2,w
Karlson,2,m
Kristina,2,w
Keno,2,m
Lee,2,w
Kevin,2,m
Leia,2,w
Kimi,2,m
Lenya,2,w
Kirill,2,m
Letizia,2,w
Kiyan,2,m
Leyla,2,w
Klaus,2,m
Lieselotte,2,w
Laurenz,2,m
Lilien,2,w
Laurin,2,m
Lilja,2,w
Leano,2,m
Lilliana,2,w
Leonid,2,m
Lily,2,w
Leonidas,2,m
Linh,2,w
Lewin,2,m
Linnéa,2,w
Love,2,m
Liya,2,w
Lyonel,2,m
Liz,2,w
Maddox,2,m
Lola,2,w
Mael,2,m
Lore,2,w
Manilo,2,m
Lotti,2,w
Marco,2,m
Lucyna,2,w
Maria,2,m
Lupita,2,w
Marian,2,m
Madison,2,w
Mark,2,m
Mae,2,w
Marko,2,m
Magdalene,2,w
Mateo,2,m
Mai,2,w
Mathias,2,m
Maira,2,w
Mathéo,2,m
Manuela,2,w
Mattes,2,m
Margarethe,2,w
Matthew,2,m
Mariam,2,w
Maximus,2,m
Marielle,2,w
Mert,2,m
Marietta,2,w
Mitja,2,m
Marit,2,w
Muhammed,2,m
Marlena,2,w
Neo,2,m
Maryam,2,w
Neven,2,m
Mathea,2,w
Nevio,2,m
Maxie,2,w
Niels,2,m
May,2,w
Nikolaus,2,m
Mayla,2,w
Odin,2,m
Meera,2,w
Omar,2,m
Melanie,2,w
Onno,2,m
Melinda,2,w
Ove,2,m
Melody,2,w
Patrick,2,m
Meryem,2,w
Peer,2,m
Meta,2,w
Phileas,2,m
Mia-Sophie,2,w
Philippe,2,m
Michelle,2,w
Phineas,2,m
Minna,2,w
Qais,2,m
Minou,2,w
Ragnar,2,m
Mona,2,w
Raik,2,m
Nami,2,w
Rayan,2,m
Naomi,2,w
Rio,2,m
Natalia,2,w
Roland,2,m
Nelly,2,w
Romeo,2,m
Ngoc,2,w
Rudi,2,m
Nike,2,w
Samu,2,m
Peggy,2,w
Sander,2,m
Penelope,2,w
Scott,2,m
Pepper,2,w
Sky,2,m
Petra,2,w
Skyler,2,m
Phine,2,w
Steffen,2,m
Ramona,2,w
Steven,2,m
Rita,2,w
Taha,2,m
Ruby,2,w
Takuma,2,m
Saphira,2,w
Teo,2,m
Selena,2,w
Tiberius,2,m
Sinje,2,w
Tino,2,m
Sky,2,w
Uri,2,m
Soey,2,w
Uwe,2,m
Stine,2,w
Vito,2,m
Summer,2,w
Vitus,2,m
Sylvia,2,w
Vladimirovič,2,m
Tamara,2,w
Wanja,2,m
Ursula,2,w
Willem,2,m
Vera,2,w
Willibald,2,m
Vivien,2,w
Wolf,2,m
Weda,2,w
Yannis,2,m
Wilhelmine,2,w
Yaron,2,m
Ylva,2,w
