vorname,anzahl,geschlecht
Sophie,64,w
Marie,58,w
Alexander,45,m
Charlotte,45,w
Elias,38,m
Emilia,36,w
Paul,35,m
Maria,34,w
Noah,31,m
Emma,31,w
Anton,28,m
Luca,27,m
Sophia,27,w
Leon,26,m
Jonas,25,m
Luise,25,w
Elisabeth,24,w
Maximilian,23,m
Emil,22,m
Milan,22,m
Anna,21,w
Lena,21,w
Liam,21,m
Mia,21,w
Lukas,20,m
Mathilda,20,w
Felix,19,m
Johanna,19,w
Joshua,19,m
Hannah,18,w
Jakob,18,m
Helena,18,w
Karl,18,m
Leonard,18,m
Oskar,18,m
Theodor,18,m
Ella,17,w
Mila,17,w
Julia,16,w
Lea,16,w
Aaron,16,m
David,16,m
Gabriel,16,m
Jonathan,16,m
Julius,16,m
Niklas,16,m
Amelie,15,w
Mira,15,w
Finn,15,m
Johannes,15,m
Alma,14,w
Antonia,14,w
Clara,14,w
Helene,14,w
Luisa,14,w
Sofia,14,w
Ben,14,m
Christian,14,m
Friedrich,14,m
Henri,14,m
Henry,14,m
Julian,14,m
Katharina,13,w
Paula,13,w
Louis,13,m
Luis,13,m
Moritz,13,m
Samuel,13,m
Laura,12,w
Lina,12,w
Maya,12,w
Adam,12,m
Adrian,12,m
Emilio,12,m
Gustav,12,m
Max,12,m
Philipp,12,m
Lara,11,w
Nele,11,w
Sara,11,w
Viktoria,11,w
Ali,11,m
Jan,11,m
Johann,11,m
Leo,11,m
Michael,11,m
Theo,11,m
Valentin,11,m
Elena,10,w
Ida,10,w
Pia,10,w
Sarah,10,w
Erik,10,m
Frederik,10,m
Sebastian,10,m
Alessia,9,w
Amalia,9,w
Elise,9,w
Emily,9,w
Frieda,9,w
Hanna,9,w
Lia,9,w
Mara,9,w
Marlene,9,w
Melissa,9,w
Arthur,9,m
Stella,9,w
Daniel,9,m
Lennox,9,m
Linus,9,m
Ole,9,m
Peter,9,m
Philip,9,m
Timo,9,m
Anastasia,8,w
Greta,8,w
Leonie,8,w
Lisa,8,w
Lucia,8,w
Matilda,8,w
Melina,8,w
Albert,8,m
Nora,8,w
Antonio,8,m
Pauline,8,w
Benjamin,8,m
Rosa,8,w
Carl,8,m
Ruth,8,w
Georg,8,m
Victoria,8,w
Josef,8,m
Maxim,8,m
Raphael,8,m
Tim,8,m
Vincent,8,m
Alina,7,w
Aurelia,7,w
Elisa,7,w
Juna,7,w
Klara,7,w
Merle,7,w
Milena,7,w
Olivia,7,w
Andreas,7,m
Rose,7,w
August,7,m
Edgar,7,m
Lennard,7,m
Levi,7,m
Matti,7,m
Mohammad,7,m
Amira,6,w
Frida,6,w
Josefine,6,w
Josephine,6,w
Lilly,6,w
Lotta,6,w
Bruno,6,m
Lotte,6,w
Can,6,m
Lou,6,w
Eric,6,m
Louisa,6,w
Fabian,6,m
Louise,6,w
Fritz,6,m
Luna,6,w
Joel,6,m
Melody,6,w
Jonah,6,m
Tilda,6,w
Kurt,6,m
Zoe,6,w
Mats,6,m
Matteo,6,m
Mattis,6,m
Milo,6,m
Yasin,6,m
Ava,5,w
Eleni,5,w
Elif,5,w
Elli,5,w
Eva,5,w
Armin,5,m
Hermine,5,w
Efe,5,m
Isabelle,5,w
Emir,5,m
Jolie,5,w
Enno,5,m
Karlotta,5,w
Fiete,5,m
Lilli,5,w
Fynn,5,m
Linnea,5,w
Jasper,5,m
Livia,5,w
Juri,5,m
Lore,5,w
Justus,5,m
Luana,5,w
Kasimir,5,m
Mariella,5,w
Leander,5,m
Mathilde,5,w
Leopold,5,m
Mayla,5,w
Levin,5,m
Mina,5,w
Lino,5,m
Paulina,5,w
Luan,5,m
Su,5,w
Marcel,5,m
Summer,5,w
Mateo,5,m
Valentina,5,w
Maurice,5,m
Zoé,5,w
Mika,5,m
Mohamad,5,m
Muhammed,5,m
Nikita,5,m
Noam,5,m
Noel,5,m
Oliver,5,m
Phillip,5,m
Piet,5,m
Richard,5,m
Ryan,5,m
Tom,5,m
Tony,5,m
Yusuf,5,m
Ada,4,w
Alexia,4,w
Alva,4,w
Amy,4,w
Annelie,4,w
Anni,4,w
Annika,4,w
Aysima,4,w
Carlotta,4,w
Charlie,4,w
Ela,4,w
Elin,4,w
Elsa,4,w
Finja,4,w
Ahmed,4,m
Flora,4,w
Bo,4,m
Florentine,4,w
Carlos,4,m
Gabriele,4,w
Christoph,4,m
Grace,4,w
Dominic,4,m
Henriette,4,w
Dominik,4,m
Isabel,4,w
Eliah,4,m
Isabella,4,w
Emilian,4,m
Jessica,4,w
George,4,m
Joleen,4,w
Hamza,4,m
Juno,4,w
Hannes,4,m
Lana,4,w
Hans,4,m
Larissa,4,w
Henrik,4,m
Leni,4,w
Ibrahim,4,m
Lieselotte,4,w
Igor,4,m
Liliana,4,w
Janosch,4,m
Linda,4,w
Jaron,4,m
Lucie,4,w
Jason,4,m
Madita,4,w
Jayden,4,m
Magdalena,4,w
Johan,4,m
Maja,4,w
John,4,m
Martha,4,w
Jon,4,m
Maryam,4,w
Junior,4,m
Milla,4,w
Lars,4,m
Nina,4,w
Lian,4,m
Nisa,4,w
Ludwig,4,m
Romy,4,w
Magnus,4,m
Ronja,4,w
Malik,4,m
Rosalie,4,w
Maria,4,m
Samira,4,w
Mark,4,m
Tessa,4,w
Martin,4,m
Valeria,4,w
Matthias,4,m
Vanessa,4,w
Mio,4,m
Yara,4,w
Mustafa,4,m
Zeynep,4,w
Nico,4,m
Nikolai,4,m
Nils,4,m
Onno,4,m
Patrick,4,m
Phil,4,m
Rafael,4,m
Robert,4,m
Robin,4,m
Ruben,4,m
Samir,4,m
Simon,4,m
Thomas,4,m
Tobias,4,m
Viktor,4,m
Werner,4,m
William,4,m
Wolfgang,4,m
Adele,3,w
Alicia,3,w
Amanda,3,w
Amelia,3,w
Andrea,3,w
Angelika,3,w
Anita,3,w
Annabelle,3,w
Annemarie,3,w
Arina,3,w
Aurora,3,w
Ayla,3,w
Aylin,3,w
