vorname,anzahl,geschlecht
Marie,23,w
Maximilian,20,m
Maria,19,w
Alexander,18,m
Sophie,18,w
Theodor,16,m
Charlotte,16,w
Emma,14,w
Sophia,14,w
David,12,m
Elias,12,m
Jonas,12,m
Paul,12,m
Anna,12,w
Elisabeth,12,w
Emily,11,w
Luisa,11,w
Clara,10,w
Leo,9,m
Leon,9,m
Luca,9,m
Lukas,9,m
Philipp,9,m
Elisa,9,w
Johanna,9,w
Aaron,8,m
Jakob,8,m
Antonia,8,w
Joshua,8,m
Emilia,8,w
Leonard,8,m
Amelie,7,w
Karl,7,m
Hannah,7,w
Lennard,7,m
Julia,7,w
Liam,7,m
Lea,7,w
Simon,7,m
Luise,7,w
Tim,7,m
Ella,6,w
Gabriel,6,m
Helene,6,w
Jonathan,6,m
Katharina,6,w
Julian,6,m
Leni,6,w
Milan,6,m
Lotta,6,w
Oliver,6,m
Marlene,6,w
Samuel,6,m
Mathilda,6,w
Vincent,6,m
Mila,6,w
Adam,5,m
Helena,5,w
Ben,5,m
Leonie,5,w
Christian,5,m
Lilly,5,w
Damian,5,m
Maya,5,w
Daniel,5,m
Merle,5,w
Felix,5,m
Mia,5,w
Finn,5,m
Michelle,5,w
Henry,5,m
Nora,5,w
Jan,5,m
Olivia,5,w
Luis,5,m
Victoria,5,w
Noah,5,m
Tobias,5,m
Eva,4,w
Friederike,4,w
Andreas,4,m
Ida,4,w
Anton,4,m
Isabell,4,w
Emil,4,m
Lena,4,w
Friedrich,4,m
Lia,4,w
Ilyas,4,m
Lisa,4,w
Joel,4,m
Mira,4,w
Johann,4,m
Sarah,4,w
Johannes,4,m
Sofia,4,w
Julius,4,m
Justus,4,m
Lasse,4,m
Leopold,4,m
Louis,4,m
Martin,4,m
Moritz,4,m
Oscar,4,m
Raphael,4,m
Timon,4,m
Valentin,4,m
Aliya,3,w
Aria,3,w
Aurora,3,w
Ava,3,w
Dorothea,3,w
Elena,3,w
Elif,3,w
Elsa,3,w
Emilie,3,w
Finja,3,w
Fiona,3,w
Adrian,3,m
Frida,3,w
Arthur,3,m
Hanna,3,w
Benedikt,3,m
Kira,3,w
Hendrik,3,m
Lara,3,w
Henri,3,m
Laura,3,w
Ivan,3,m
Leyla,3,w
Jannis,3,m
Lina,3,w
John,3,m
Linda,3,w
Josef,3,m
Livia,3,w
Leonidas,3,m
Lou,3,w
Levi,3,m
Louisa,3,w
Linus,3,m
Luna,3,w
Malte,3,m
Mara,3,w
Matteo,3,m
Melina,3,w
Max,3,m
Melissa,3,w
Maxim,3,m
Patricia,3,w
Mika,3,m
Rebecca,3,w
Nicolas,3,m
Rosa,3,w
Niklas,3,m
Sina,3,w
Oskar,3,m
Valentina,3,w
Philip,3,m
Zoe,3,w
Rafael,3,m
Richard,3,m
Thore,3,m
Agnes,2,w
Alexandra,2,w
Amalia,2,w
Alessio,2,m
Amelia,2,w
Arian,2,m
Amy,2,w
Artur,2,m
Angelina,2,w
August,2,m
Barbara,2,w
Bjarne,2,m
Berenike,2,w
Bosse,2,m
Carlotta,2,w
Can,2,m
Christa,2,w
Carlo,2,m
Cornelia,2,w
Che,2,m
Diana,2,w
Constantin,2,m
Edda,2,w
Emilian,2,m
Elizabeth,2,w
Eric,2,m
Ellena,2,w
Fabian,2,m
Filippa,2,w
Fedor,2,m
Flora,2,w
Frank,2,m
Giulia,2,w
Frederik,2,m
Grace,2,w
Georg,2,m
Greta,2,w
Hannes,2,m
Holly,2,w
Hermann,2,m
Hope,2,w
Jamie,2,m
Jane,2,w
Jona,2,m
Janna,2,w
Jonte,2,m
Josephine,2,w
Joseph,2,m
Julina,2,w
Kaan,2,m
Klara,2,w
Kilian,2,m
Käthe,2,w
Konstantin,2,m
Leah,2,w
Kurt,2,m
Linnea,2,w
Laith,2,m
Lotte,2,w
Lean,2,m
Maja,2,w
Leander,2,m
Martha,2,w
Lev,2,m
Milana,2,w
Levin,2,m
Miriam,2,w
Lian,2,m
Noa,2,w
Lionel,2,m
Paula,2,w
Magnus,2,m
Paulina,2,w
Malik,2,m
Pauline,2,w
Manfred,2,m
Philippa,2,w
Marko,2,m
Rachel,2,w
Mateo,2,m
Rose,2,w
Mathis,2,m
Sara,2,w
Michael,2,m
Selin,2,w
Mio,2,m
Sofie,2,w
Mohamed,2,m
Stella,2,w
Nathanael,2,m
Summer,2,w
Nelio,2,m
Susanna,2,w
Noel,2,m
Thalia,2,w
Pascal,2,m
Theresa,2,w
Pepe,2,m
Tilda,2,w
Peter,2,m
Vera,2,w
Pierre,2,m
Viktoria,2,w
Robert,2,m
Wilma,2,w
Rudi,2,m
Zoë,2,w
Ryan,2,m
Sam,2,m
Theo,2,m
Theodore,2,m
Thomas,2,m
Till,2,m
Titus,2,m
Tom,2,m
Walter,2,m
Younes,2,m
