vorname,anzahl,geschlecht,position
Marie,43,w,2
Sophie,36,w,2
Emma,31,w,1
Emilia,29,w,1
Noah,28,m,1
Charlotte,27,w,2
Adam,24,m,1
Anton,24,m,1
Mia,24,w,1
Jakob,24,m,1
Mila,23,w,1
Maria,22,w,2
Leo,22,m,1
Elias,21,m,1
Louis,21,m,1
Paul,21,m,1
Theodor,21,m,1
Alexander,20,m,2
Lukas,20,m,1
Oskar,20,m,1
Hannah,19,w,1
Jonathan,19,m,1
Karl,19,m,1
Leon,19,m,1
Luise,18,w,2
David,18,m,1
Emil,18,m,1
Jonas,18,m,1
Charlotte,17,w,1
Ella,17,w,1
Greta,17,w,1
Hanna,17,w,1
Johanna,17,w,1
Felix,17,m,1
Amelie,16,w,1
Anna,16,w,1
Levi,16,m,1
Milo,16,m,1
Clara,15,w,1
Elisa,15,w,1
Julia,15,w,1
Paula,15,w,1
Julius,15,m,1
Max,15,m,1
Milan,15,m,1
Maximilian,14,m,2
Ida,14,w,1
Lara,14,w,1
Lea,14,w,1
Lina,14,w,1
Arthur,14,m,1
Ben,14,m,1
Benjamin,14,m,1
Henri,14,m,1
Henry,14,m,1
Liam,14,m,1
Benjamin,13,m,2
Alma,13,w,1
Frida,13,w,1
Lena,13,w,1
Maya,13,w,1
Rosa,13,w,1
Alexander,13,m,1
Ali,13,m,1
Erik,13,m,1
Finn,13,m,1
Leonard,13,m,1
Muhammed,13,m,1
Jakob,12,m,2
Paul,12,m,2
Johanna,12,w,2
Su,12,w,2
Elisabeth,12,w,1
Marie,12,w,1
Sara,12,w,1
Theo,12,m,1
Amalia,11,w,1
Eva,11,w,1
Maja,11,w,1
Matilda,11,w,1
Mira,11,w,1
Nora,11,w,1
Sofia,11,w,1
Sophie,11,w,1
Amir,11,m,1
Fritz,11,m,1
Johann,11,m,1
Luca,11,m,1
Maximilian,11,m,1
Piet,11,m,1
Samuel,11,m,1
Friedrich,10,m,2
Sophia,10,w,2
Frieda,10,w,1
Klara,10,w,1
Leni,10,w,1
Luna,10,w,1
Olivia,10,w,1
Aaron,10,m,1
Bruno,10,m,1
Juri,10,m,1
Lucas,10,m,1
Martin,10,m,1
Oliver,10,m,1
Valentin,10,m,1
David,9,m,2
Elias,9,m,2
Karl,9,m,2
Lucia,9,w,2
Noah,9,m,2
Luisa,9,w,2
Rose,9,w,2
Ava,9,w,1
Carla,9,w,1
Elif,9,w,1
Emily,9,w,1
Helena,9,w,1
Isabella,9,w,1
Laura,9,w,1
Lotte,9,w,1
Sophia,9,w,1
Jona,9,m,1
Jonah,9,m,1
Luis,9,m,1
Moritz,9,m,1
Tim,9,m,1
Ali,8,m,2
Anna,8,w,2
Elisabeth,8,w,2
Elise,8,w,2
Louise,8,w,2
Antonia,8,w,1
Leonie,8,w,1
Lia,8,w,1
Liya,8,w,1
Mara,8,w,1
Edgar,8,m,1
Maria,8,w,1
Friedrich,8,m,1
Merle,8,w,1
Hamza,8,m,1
Nele,8,w,1
Lio,8,m,1
Tilda,8,w,1
Luka,8,m,1
Yuna,8,w,1
Mads,8,m,1
Mika,8,m,1
Pepe,8,m,1
Vincent,8,m,1
Efe,7,m,2
Emil,7,m,2
Fritz,7,m,2
Leon,7,m,2
Leonard,7,m,2
Anh,7,w,2
Maria,7,m,2
Anouk,7,w,2
Michael,7,m,2
Carlotta,7,w,2
Richard,7,m,2
Emilia,7,w,2
Lina,7,w,2
Mathilda,7,w,2
Alice,7,w,1
Lucia,7,w,1
Luise,7,w,1
Malia,7,w,1
Daniel,7,m,1
Mathilda,7,w,1
Elio,7,m,1
Melina,7,w,1
Emir,7,m,1
Rosalie,7,w,1
Fabian,7,m,1
Ruby,7,w,1
Florian,7,m,1
Stella,7,w,1
Joshua,7,m,1
Thea,7,w,1
Malik,7,m,1
Malte,7,m,1
Matteo,7,m,1
Mattis,7,m,1
Mert,7,m,1
Mio,7,m,1
Mohammed,7,m,1
Otto,7,m,1
Philipp,7,m,1
Tom,7,m,1
Yusuf,7,m,1
An,6,w,3
Anh,6,m,2
August,6,m,2
Felix,6,m,2
An,6,w,2
Gia,6,m,2
Ava,6,w,2
Henry,6,m,2
Lotta,6,w,2
Josef,6,m,2
Lou,6,w,2
Levi,6,m,2
Nur,6,w,2
Luis,6,m,2
Paulina,6,w,2
Lukas,6,m,2
Pauline,6,w,2
Martin,6,m,2
Rosa,6,w,2
Max,6,m,2
Ole,6,m,2
Oskar,6,m,2
Theodor,6,m,2
Valentin,6,m,2
Amina,6,w,1
Ayla,6,w,1
Ela,6,w,1
Helen,6,w,1
Mariam,6,w,1
Nina,6,w,1
Zoe,6,w,1
Adrian,6,m,1
Carlo,6,m,1
Enno,6,m,1
Gustav,6,m,1
Ibrahim,6,m,1
Jan,6,m,1
Kurt,6,m,1
Levin,6,m,1
Michael,6,m,1
Muhammad,6,m,1
Neo,6,m,1
Ole,6,m,1
Omar,6,m,1
Simon,6,m,1
Youssef,6,m,1
Anh,5,m,3
Paul,5,m,3
Maria,5,w,3
Marie,5,w,3
Frida,5,w,2
Mae,5,w,2
Sofia,5,w,2
Zoe,5,w,2
Aaron,5,m,2
Anton,5,m,2
Asaf,5,m,2
Bruno,5,m,2
Constantin,5,m,2
Erik,5,m,2
Hamza,5,m,2
Hans,5,m,2
Huy,5,m,2
Jan,5,m,2
Leander,5,m,2
Levin,5,m,2
Peter,5,m,2
Alva,5,w,1
Amira,5,w,1
Amélie,5,w,1
Diana,5,w,1
Elena,5,w,1
Eliana,5,w,1
Elise,5,w,1
Elli,5,w,1
Fatima,5,w,1
Laila,5,w,1
Leyla,5,w,1
Liv,5,w,1
Livia,5,w,1
Lotta,5,w,1
Lucy,5,w,1
Luisa,5,w,1
Magdalena,5,w,1
Meryem,5,w,1
Noa,5,w,1
Aras,5,m,1
Nola,5,w,1
Carl,5,m,1
Pauline,5,w,1
Emilio,5,m,1
Romy,5,w,1
Fiete,5,m,1
Zeynep,5,w,1
Franz,5,m,1
Hugo,5,m,1
Jamal,5,m,1
James,5,m,1
Jannik,5,m,1
Janosch,5,m,1
Jasper,5,m,1
Josef,5,m,1
Leonardo,5,m,1
Leopold,5,m,1
Linus,5,m,1
Mats,5,m,1
Miran,5,m,1
Miro,5,m,1
Nicolas,5,m,1
Niklas,5,m,1
Rafael,5,m,1
Raphael,5,m,1
Robert,5,m,1
Robin,5,m,1
Timo,5,m,1
Yahya,5,m,1
Yousef,5,m,1
Đức,5,m,1
Minh,4,m,3
Charlotte,4,w,3
Nhi,4,w,3
Sophie,4,w,3
Bảo,4,w,2
