vorname,anzahl,geschlecht,position
Emilia,16,w,1
Sophie,15,w,2
Marie,12,w,2
Theo,11,m,1
Charlotte,11,w,1
Paul,10,m,1
Nele,10,w,1
Paula,10,w,1
Alexander,9,m,2
Lotta,9,w,1
Charlotte,8,w,2
Leo,8,m,1
Lio,8,m,1
Luis,8,m,1
Oskar,8,m,1
Frieda,8,w,1
Theodor,8,m,1
Leonie,8,w,1
Lina,8,w,1
Merle,8,w,1
Rose,7,w,2
Emil,7,m,1
Erik,7,m,1
Henry,7,m,1
Emma,7,w,1
Jonas,7,m,1
Matilda,7,w,1
Mia,7,w,1
Mira,7,w,1
Paul,6,m,2
Maria,6,w,2
Jakob,6,m,1
Louis,6,m,1
Lukas,6,m,1
Emily,6,w,1
Max,6,m,1
Marie,6,w,1
Moritz,6,m,1
Mathilda,6,w,1
Mila,6,w,1
Sophia,6,w,1
Elias,5,m,2
Maximilian,5,m,2
Anton,5,m,1
Elias,5,m,1
Felix,5,m,1
Elena,5,w,1
Georg,5,m,1
Ella,5,w,1
Janosch,5,m,1
Ida,5,w,1
Justus,5,m,1
Klara,5,w,1
Levi,5,m,1
Lara,5,w,1
Noah,5,m,1
Luise,5,w,1
Oliver,5,m,1
Luna,5,w,1
Nela,5,w,1
Ben,4,m,2
Emil,4,m,2
Louise,4,w,2
Friedrich,4,m,2
Malou,4,w,2
Johann,4,m,2
Sofie,4,w,2
Michael,4,m,2
Alexander,4,m,1
Bela,4,m,1
Ada,4,w,1
Edgar,4,m,1
Amalia,4,w,1
Elyas,4,m,1
Elisabeth,4,w,1
Fiete,4,m,1
Emelie,4,w,1
Finn,4,m,1
Frida,4,w,1
Jonathan,4,m,1
Helena,4,w,1
Karl,4,m,1
Laura,4,w,1
Leon,4,m,1
Lea,4,w,1
Leonard,4,m,1
Liv,4,w,1
Liam,4,m,1
Maja,4,w,1
Luca,4,m,1
Maria,4,w,1
Matteo,4,m,1
Marlene,4,w,1
Mattis,4,m,1
Romy,4,w,1
Maxim,4,m,1
Sophie,4,w,1
Maximilian,4,m,1
Mika,4,m,1
Milan,4,m,1
Tim,4,m,1
Wilhelm,4,m,1
Maria,3,w,3
Marie,3,w,3
Alexandra,3,w,2
Anton,3,m,2
Amalia,3,w,2
Bo,3,m,2
Anna,3,w,2
David,3,m,2
Frida,3,w,2
Jakob,3,m,2
Helene,3,w,2
Karl,3,m,2
Henriette,3,w,2
Leo,3,m,2
Katharina,3,w,2
Matteo,3,m,2
Linn,3,w,2
Max,3,m,2
Malu,3,w,2
Ole,3,m,2
Margarethe,3,w,2
Pepe,3,m,2
Marleen,3,w,2
Robert,3,m,2
Merle,3,w,2
Theodor,3,m,2
Rosa,3,w,2
Valentin,3,m,2
Sophia,3,w,2
Alva,3,w,1
Amelie,3,w,1
Amélie,3,w,1
Anna,3,w,1
Anni,3,w,1
Aaron,3,m,1
Antonia,3,w,1
Adrian,3,m,1
Carla,3,w,1
Arthur,3,m,1
Carlotta,3,w,1
Ben,3,m,1
Clara,3,w,1
Bruno,3,m,1
Eva,3,w,1
Carl,3,m,1
Hanna,3,w,1
Carlo,3,m,1
Hannah,3,w,1
Constantin,3,m,1
Isabelle,3,w,1
David,3,m,1
Johanna,3,w,1
Fabian,3,m,1
Lena,3,w,1
Florian,3,m,1
Lia,3,w,1
Friedrich,3,m,1
Lilly,3,w,1
Fritz,3,m,1
Lucia,3,w,1
Jannik,3,m,1
Magdalena,3,w,1
Jasper,3,m,1
Malou,3,w,1
Jona,3,m,1
Mara,3,w,1
Jonah,3,m,1
Mona,3,w,1
Julius,3,m,1
Nora,3,w,1
Kian,3,m,1
Pauline,3,w,1
Luke,3,m,1
Rosa,3,w,1
Malte,3,m,1
Mats,3,m,1
Michael,3,m,1
Milo,3,m,1
Nils,3,m,1
Rafael,3,m,1
Samuel,3,m,1
Till,3,m,1
Tom,3,m,1
Charlotte,2,w,3
Renate,2,w,3
Albert,2,m,2
Alea,2,w,2
Arthur,2,m,2
Ava,2,w,2
Benedikt,2,m,2
Coco,2,w,2
Björn,2,m,2
Elena,2,w,2
Daniel,2,m,2
Elisa,2,w,2
Elmar,2,m,2
Elise,2,w,2
Felix,2,m,2
Ella,2,w,2
Ferdinand,2,m,2
Elli,2,w,2
Finn,2,m,2
Emilia,2,w,2
Fritz,2,m,2
Fritzi,2,w,2
Gustav,2,m,2
Gerda,2,w,2
Henry,2,m,2
Ida,2,w,2
Jonathan,2,m,2
Johanna,2,w,2
Joshua,2,m,2
Jolie,2,w,2
Julius,2,m,2
Julie,2,w,2
Juri,2,m,2
Katrin,2,w,2
Kjell,2,m,2
Leni,2,w,2
Konstantin,2,m,2
Linea,2,w,2
Leander,2,m,2
Lotta,2,w,2
Levi,2,m,2
Luisa,2,w,2
Mario,2,m,2
Luise,2,w,2
Martin,2,m,2
Luna,2,w,2
Oskar,2,m,2
Malin,2,w,2
Philipp,2,m,2
Marlene,2,w,2
Ragnar,2,m,2
Martina,2,w,2
Richard,2,m,2
Mathilda,2,w,2
Theo,2,m,2
Matilda,2,w,2
Walter,2,m,2
Mia,2,w,2
Willi,2,m,2
Rosé,2,w,2
Wolf,2,m,2
Sasha,2,w,2
Teresa,2,w,2
Thorvi,2,w,2
Alea,2,w,1
Alina,2,w,1
Alma,2,w,1
Amelia,2,w,1
Anouk,2,w,1
Ava,2,w,1
Bella,2,w,1
Charlotta,2,w,1
Cleo,2,w,1
Adam,2,m,1
Dorothea,2,w,1
Albert,2,m,1
Edda,2,w,1
Amos,2,m,1
Edith,2,w,1
Anastasios,2,m,1
Eleanor,2,w,1
Arian,2,m,1
Eleonora,2,w,1
Artur,2,m,1
Elin,2,w,1
Benno,2,m,1
Elina,2,w,1
Bo,2,m,1
Elise,2,w,1
Christopher,2,m,1
Emma-Sophie,2,w,1
Elian,2,m,1
Felicitas,2,w,1
Elio,2,m,1
Felina,2,w,1
Elliot,2,m,1
Fiona,2,w,1
