vorname,anzahl,geschlecht,position
Adam,42,m,1
Noah,35,m,1
Sophie,33,w,2
Marie,31,w,2
Elias,29,m,1
Mira,27,w,1
Emma,26,w,1
Leon,23,m,1
Charlotte,23,w,2
Alexander,23,m,2
Jonathan,21,m,1
Charlotte,20,w,1
Emilia,20,w,1
Mila,20,w,1
Felix,20,m,1
Liam,20,m,1
Ella,19,w,1
Ali,19,m,1
Emil,19,m,1
Lara,18,w,1
Mia,18,w,1
Alexander,18,m,1
Leo,18,m,1
Levi,18,m,1
Maximilian,18,m,1
Theodor,18,m,1
Maria,18,w,2
Ali,18,m,2
Alma,17,w,1
Anna,17,w,1
Amir,17,m,1
Clara,16,w,1
Louis,16,m,1
Luise,16,w,2
Amira,15,w,1
Maria,15,w,1
Maya,15,w,1
Sofia,15,w,1
Mohammad,15,m,1
Helena,14,w,1
Leni,14,w,1
Lia,14,w,1
Sophia,14,w,1
Hamza,14,m,1
Jakob,14,m,1
Muhammad,14,m,1
Paul,14,m,1
Samuel,14,m,1
Emil,14,m,2
Paul,14,m,2
Leonie,13,w,1
Marie,13,w,1
Matilda,13,w,1
Daniel,13,m,1
Ibrahim,13,m,1
Theo,13,m,1
Elisabeth,13,w,2
Emilia,13,w,2
Johanna,13,w,2
Carla,12,w,1
Elena,12,w,1
Lea,12,w,1
Mariam,12,w,1
Nora,12,w,1
Arthur,12,m,1
David,12,m,1
Omar,12,m,1
Elisa,11,w,1
Hanna,11,w,1
Olivia,11,w,1
Sophie,11,w,1
Tilda,11,w,1
Anton,11,m,1
Finn,11,m,1
Jonas,11,m,1
Luis,11,m,1
Lukas,11,m,1
Malik,11,m,1
Mateo,11,m,1
Muhammed,11,m,1
Amalia,10,w,1
Amina,10,w,1
Ayla,10,w,1
Fatima,10,w,1
Lina,10,w,1
Luna,10,w,1
Nina,10,w,1
Emir,10,m,1
Issa,10,m,1
Johann,10,m,1
Joshua,10,m,1
Leonardo,10,m,1
Linus,10,m,1
Luca,10,m,1
Mahmoud,10,m,1
Mark,10,m,1
Milo,10,m,1
Isabel,10,w,2
Michael,10,m,2
Amelie,9,w,1
Ava,9,w,1
Emily,9,w,1
Eva,9,w,1
Lotta,9,w,1
Benjamin,9,m,1
Gabriel,9,m,1
Henri,9,m,1
Ilyas,9,m,1
Milan,9,m,1
Mohamed,9,m,1
Oskar,9,m,1
Raphael,9,m,1
Vincent,9,m,1
Younes,9,m,1
Yusuf,9,m,1
Anna,9,w,2
Clara,9,w,2
Helene,9,w,2
Katharina,9,w,2
Sophia,9,w,2
Johann,9,m,2
Levi,9,m,2
Maximilian,9,m,2
Samuel,9,m,2
Valentin,9,m,2
Wilhelm,9,m,2
Frieda,8,w,1
Ida,8,w,1
Lola,8,w,1
Mathilda,8,w,1
Melina,8,w,1
Pauline,8,w,1
Sara,8,w,1
Victoria,8,w,1
Aaron,8,m,1
Adrian,8,m,1
Aras,8,m,1
Ayaz,8,m,1
Bruno,8,m,1
Carl,8,m,1
Franz,8,m,1
Hugo,8,m,1
Jasper,8,m,1
Lio,8,m,1
Malek,8,m,1
Matteo,8,m,1
Mohammed,8,m,1
Mustafa,8,m,1
Lou,8,w,2
Victoria,8,w,2
Liam,8,m,2
Sebastian,8,m,2
Carlotta,7,w,1
Cataleya,7,w,1
Diana,7,w,1
Elif,7,w,1
Flora,7,w,1
Hayat,7,w,1
Layan,7,w,1
